car,parking_pass,Fine_amount,date
933,638,11.72,12/29/2012
745,628,41.81,10/25/2013
360,22,138.14,7/3/2014
23,441,95.54,11/20/2013
107,707,14.88,12/5/2017
75,71,11.62,3/23/2012
306,843,123.12,4/16/2017
591,387,49.35,1/28/2014
712,280,10.44,2/2/2015
580,345,34.32,2/26/2013
53,757,30.73,12/23/2017
575,112,190.69,11/2/2014
474,338,10.85,2/6/2012
92,331,11.25,7/22/2010
420,138,102.33,7/12/2011
523,836,6.06,5/18/2015
445,246,68.99,6/1/2010
513,280,180.65,12/14/2013
164,933,31.17,2/27/2016
591,972,25.38,11/14/2011
788,96,366.9,2/25/2012
233,771,20.99,10/28/2012
996,896,106.05,7/27/2013
460,136,136.41,2/9/2012
276,136,87.77,2/5/2016
698,657,78.86,1/18/2012
343,231,88.02,11/18/2014
693,532,43.96,2/24/2018
666,509,368.85,5/3/2017
777,197,217.25,3/1/2010
470,369,115.95,9/26/2015
462,132,39.73,12/21/2017
868,214,145.79,2/25/2016
967,916,8.18,8/25/2011
506,910,356.08,3/28/2012
991,517,56.3,1/31/2012
199,556,152.72,11/24/2015
141,307,38.54,5/27/2014
65,640,24.15,10/18/2011
222,489,150.17,1/11/2017
977,544,372.34,11/19/2012
166,939,152.39,11/21/2014
466,696,120.11,12/25/2013
246,497,232.03,8/17/2013
255,378,31.9,3/25/2014
362,506,24.08,12/10/2010
510,949,116.94,3/3/2011
12,353,131.92,6/5/2011
7,332,84.51,4/5/2015
697,43,140.06,2/9/2016
223,598,161.96,8/4/2015
500,180,281.8,4/26/2013
591,533,50.36,4/6/2017
191,835,148.95,11/22/2011
169,672,180.93,11/17/2012
72,609,328.51,6/27/2012
682,886,140.34,9/7/2014
856,165,133.1,12/26/2017
575,254,35.56,11/26/2017
702,924,264.5,2/4/2011
778,164,171.35,10/8/2016
238,949,6.28,8/21/2017
636,213,126.12,12/13/2017
681,24,54.2,4/22/2014
752,695,12.16,4/6/2012
894,390,197.44,10/29/2013
184,260,35.05,11/12/2011
510,446,54.61,3/3/2015
366,711,19.63,4/18/2014
673,791,68.31,8/5/2014
907,133,191.04,12/3/2016
586,678,258.11,11/20/2011
913,203,23.07,6/22/2012
738,605,94.96,2/11/2013
802,116,11.39,4/18/2010
365,715,106.18,1/22/2016
234,266,272.31,6/18/2012
338,410,78.33,11/18/2011
331,882,7.26,12/30/2015
756,766,54.31,11/14/2010
652,221,10.99,8/22/2015
503,928,337.91,9/22/2017
632,876,87.09,3/18/2016
855,849,15.3,5/12/2014
472,85,174.06,6/21/2016
795,810,116.71,11/20/2014
364,993,24.77,7/12/2011
597,436,286.31,11/7/2010
294,81,237.8,11/8/2017
782,96,19.78,4/29/2010
795,125,64.31,1/7/2013
735,454,87.17,3/13/2013
465,556,27.59,11/3/2016
995,694,127.66,2/6/2015
421,218,10.16,7/10/2014
150,139,182.32,12/25/2013
637,741,0.29,5/4/2013
826,237,65.39,6/23/2015
445,698,39.24,2/28/2011
656,787,231.08,1/31/2017
337,54,52.61,6/1/2015
62,546,18.22,1/4/2015
431,301,224.75,10/3/2012
59,938,78.13,5/30/2016
971,672,75.46,4/9/2016
979,462,212.7,10/15/2014
307,966,243.24,11/26/2014
992,958,341.6,1/24/2013
5,608,358.64,10/20/2011
606,801,153.23,9/1/2014
259,243,13.32,2/4/2015
734,473,242.48,6/15/2012
219,389,188.23,1/6/2015
888,605,45.72,11/11/2010
258,737,18.53,1/6/2010
408,100,151.33,1/10/2018
331,261,62.65,10/13/2010
898,21,109.4,5/20/2012
712,920,34.49,12/11/2011
520,51,90.8,5/15/2015
928,872,87.67,8/27/2011
77,425,144.02,2/24/2014
863,818,30.33,12/4/2015
366,130,339.67,5/11/2015
117,197,9.17,1/4/2017
982,746,10.24,2/19/2015
402,111,329.19,1/12/2015
789,43,68.62,3/2/2012
805,339,131.92,12/1/2017
367,371,6.04,9/1/2010
509,943,110.8,1/23/2013
638,123,72.71,8/28/2012
55,867,146.08,2/22/2010
590,980,16.42,3/29/2016
977,644,62.86,2/23/2014
413,248,37.78,2/18/2011
304,299,161.01,5/9/2010
298,890,20.37,10/30/2017
885,495,182.81,10/7/2012
209,391,15.61,10/25/2014
449,655,264.48,5/11/2016
154,199,2.24,8/5/2012
388,191,298.26,8/23/2015
447,423,205.34,11/2/2015
961,706,33.52,8/21/2010
435,687,333.81,6/20/2013
478,136,107.31,2/12/2016
641,531,163.45,1/15/2016
756,738,168.82,4/29/2010
38,919,141.54,5/29/2010
930,320,20.86,4/8/2010
1000,811,26.51,2/22/2015
177,56,21.99,6/20/2015
542,715,0.55,8/26/2012
966,997,82.06,11/20/2010
782,124,145.02,1/3/2015
251,808,156.04,5/26/2013
568,945,247.44,9/9/2014
106,752,61.72,1/2/2015
353,726,15.73,2/7/2013
284,500,405.81,11/9/2011
548,201,149,11/22/2016
664,227,256.06,9/22/2011
472,21,16.03,1/3/2012
358,871,115.4,6/22/2012
331,328,66.23,2/14/2012
841,527,141.16,11/25/2017
689,233,25.98,5/8/2016
942,120,84.9,6/13/2013
896,236,32.6,5/17/2010
636,475,94.71,12/9/2010
900,76,58.33,10/2/2012
544,472,213.8,11/10/2011
270,67,2.6,12/4/2014
520,25,26.55,10/9/2015
775,912,10.6,7/13/2012
541,879,5.49,7/5/2014
470,21,28.93,6/2/2010
863,489,111.94,11/17/2010
831,111,47.83,6/25/2015
723,879,220.13,3/30/2013
480,457,73.51,12/26/2017
646,699,21.64,5/30/2015
631,946,120.91,5/31/2016
899,388,61.37,4/1/2015
551,490,1.48,3/21/2016
217,275,42.78,2/20/2015
316,850,54.21,4/15/2014
