car,Fine_amount,date
618,151.55,4/9/2014
326,56.76,12/17/2014
265,148.34,9/7/2011
465,55.64,12/9/2015
685,11.35,3/25/2015
781,42.29,12/7/2015
322,103.68,4/26/2013
194,84.59,6/28/2016
550,134.17,3/14/2013
591,36.48,7/27/2015
683,50.96,9/6/2015
551,10.88,4/17/2014
476,51.56,2/11/2014
293,224.75,9/12/2016
782,6.35,3/17/2014
747,35.62,10/15/2015
822,201.76,2/2/2012
965,61.9,4/26/2015
591,77.53,12/23/2011
777,57.46,12/26/2011
114,12.89,2/23/2010
127,110.67,10/28/2014
864,130.65,5/31/2010
537,369.56,9/17/2016
658,30.16,7/22/2010
108,33.73,5/8/2017
808,210.98,12/5/2011
462,239.23,12/24/2014
831,82.09,10/25/2017
877,41.96,4/23/2012
951,44.91,1/15/2010
719,3.72,9/18/2013
115,95.92,1/19/2016
475,43.42,1/16/2015
651,281.87,1/4/2017
859,62.29,7/15/2016
619,74.31,10/24/2010
136,5.52,7/30/2010
740,73.79,1/24/2011
767,21.67,2/4/2015
473,303.37,1/21/2017
749,253.58,6/1/2012
95,335.29,12/16/2016
133,139.49,3/18/2011
336,9.5,4/6/2010
873,94.64,12/25/2012
322,181.58,12/11/2011
253,307.36,4/18/2014
701,53.31,3/20/2015
615,18.17,4/15/2015
414,65.03,12/6/2011
546,14.74,6/22/2016
3,84.7,5/18/2015
179,15.69,6/28/2016
298,238.51,3/14/2014
507,29.83,4/11/2014
218,88.71,5/1/2015
386,36.55,6/2/2016
519,76.63,1/14/2016
606,71.87,6/24/2017
167,55.47,1/7/2010
358,39,7/18/2014
412,81.88,10/8/2011
859,345.94,8/4/2016
601,349.92,1/2/2013
268,223.59,10/12/2015
955,88.91,2/20/2011
658,118.29,11/20/2013
669,410.15,12/15/2012
195,50.86,2/8/2014
525,41.01,12/26/2016
918,5.94,8/29/2013
774,156.34,5/21/2017
837,178.35,3/6/2016
825,92.66,6/27/2014
145,10.73,7/18/2014
704,169.39,1/1/2017
206,161.46,9/13/2011
481,16.04,3/14/2014
144,159.42,3/28/2010
90,12,9/21/2012
389,14.26,3/30/2011
321,180.68,7/1/2012
439,246.95,7/20/2017
396,94.18,12/19/2010
576,335.17,6/15/2011
8,41.63,4/11/2011
905,3.61,11/26/2013
668,259.81,6/30/2013
439,32.38,2/7/2015
549,192.59,6/17/2011
396,176.99,11/29/2010
938,1.82,3/8/2015
141,281.73,4/6/2011
858,165.48,1/24/2017
675,96.4,4/18/2013
142,22.85,11/18/2011
106,2.59,5/19/2015
748,102.01,6/29/2013
592,81.94,12/13/2017
169,205.86,1/15/2010
403,70.09,2/10/2014
832,142.17,3/20/2017
525,76.29,2/14/2018
473,34.73,4/17/2011
301,22.32,10/22/2017
266,41.01,1/19/2014
785,168.7,4/14/2010
747,175.57,2/11/2010
721,301.8,8/30/2012
316,0.47,3/5/2014
450,7.58,12/21/2017
4,21.61,11/12/2011
705,136.59,10/8/2016
24,9.9,12/12/2016
574,127.16,8/13/2011
216,300.18,3/14/2017
312,9.22,11/8/2015
886,34.77,10/20/2011
486,40.35,7/24/2012
369,191.03,12/8/2014
661,15.18,11/8/2017
483,377.89,4/27/2013
368,90.62,9/2/2014
418,15.14,9/14/2015
550,61.64,9/20/2010
446,43.42,1/22/2013
938,7.83,8/29/2011
264,242.7,2/7/2010
738,291.54,8/10/2011
485,160.05,7/27/2013
578,16.02,8/10/2013
544,128.97,10/9/2016
151,8.07,5/26/2017
267,164.3,6/5/2011
498,144.48,2/3/2018
988,11.68,3/25/2016
594,43.29,1/15/2013
741,241.79,4/9/2014
336,260.78,5/29/2010
284,74.95,7/29/2010
976,244.55,11/9/2011
364,56.87,8/18/2015
809,243.39,12/10/2015
23,195.31,10/19/2015
959,48.16,11/3/2010
801,89.86,5/4/2012
129,189.43,7/3/2014
182,335.76,4/12/2013
320,448.05,1/16/2015
684,270.46,2/6/2017
178,415.12,2/21/2017
154,121.6,3/4/2010
597,97.41,12/3/2014
770,203.46,7/21/2017
169,175.99,7/7/2012
53,152.16,5/14/2014
77,94.47,10/2/2011
474,319.77,2/20/2013
47,24.33,11/14/2013
941,15.16,9/18/2012
661,322.14,12/6/2012
696,119.27,4/28/2017
49,163.27,2/17/2010
927,285.45,2/1/2017
817,203.39,4/28/2015
96,311.55,12/21/2013
888,22.62,2/24/2016
506,21.9,5/18/2016
486,27.07,10/19/2013
636,247.6,9/5/2016
279,138.23,2/11/2018
949,22.02,9/6/2017
236,24.9,7/28/2013
675,81.28,4/2/2016
791,134.69,5/21/2015
451,375.34,1/21/2016
779,16.83,5/19/2012
331,100.89,7/22/2010
381,207.15,3/27/2015
773,14.92,6/30/2012
989,29.42,12/8/2016
984,72.03,11/19/2010
371,12.39,3/31/2014
221,42.08,2/16/2016
694,168.36,10/22/2011
680,0.42,7/5/2011
883,260.7,12/4/2016
329,31.26,6/7/2017
732,12.88,10/18/2012
693,198.36,5/13/2017
701,53.74,10/19/2012
290,71.23,9/10/2012
530,202.58,8/7/2014
194,41.57,1/23/2012
450,78.84,5/8/2011
805,38.01,12/11/2014
154,70.49,1/30/2013
634,101.51,11/11/2013
426,7.81,5/5/2013
667,144.06,6/7/2016
8,32.77,6/1/2010
815,20.21,5/12/2013
84,60.16,5/28/2011
101,10.27,8/15/2010
320,39.35,5/16/2016
282,89.19,3/15/2013
92,55.6,10/20/2010
698,406.69,11/26/2011
896,246.17,10/12/2012
517,48.59,12/20/2013
26,24.69,2/11/2013
472,20.14,7/31/2011
291,201.57,9/5/2013
585,85.85,4/11/2012
754,145.62,9/21/2013
380,12.91,11/9/2013
220,315.74,2/19/2013
525,108.01,9/21/2013
886,305.66,9/29/2017
769,124.33,6/8/2016
170,180.04,11/9/2013
415,12.54,9/29/2015
554,136.74,7/4/2014
546,483.42,7/16/2016
240,109.77,6/25/2015
322,174.15,4/24/2011
18,7.19,3/10/2017
245,123.93,6/11/2010
33,12.66,4/11/2017
472,19.55,3/2/2015
274,341.62,1/18/2011
169,97.83,4/20/2013
952,81.13,3/13/2010
106,254.68,5/27/2016
169,104.84,12/5/2014
352,63.68,1/2/2014
289,4.49,3/14/2014
291,13.02,8/1/2016
350,131.48,1/22/2013
570,378.99,4/9/2010
639,28.35,10/8/2011
81,66.5,5/28/2013
801,199.95,2/27/2017
45,14.52,1/17/2018
399,119.35,10/25/2010
134,182.76,8/12/2015
641,33.5,11/8/2013
501,319.76,12/17/2013
595,181.59,3/4/2010
719,6.87,1/24/2014
489,122.13,3/3/2012
800,9.23,1/7/2013
279,35.39,12/20/2015
2,70.91,9/6/2012
393,48.35,10/4/2012
890,98.22,2/26/2014
387,68.82,6/7/2017
698,303.17,5/30/2017
604,51.62,2/8/2012
405,221.25,1/28/2016
731,153.67,1/25/2018
968,190.4,1/5/2010
717,363.06,11/3/2012
69,10.55,9/29/2013
550,119.19,5/13/2014
261,150.72,1/18/2015
792,286.2,7/12/2015
720,19.94,8/29/2012
125,115.67,4/27/2012
539,4.2,11/28/2011
979,65.34,9/8/2010
825,133.4,2/9/2010
131,296.02,4/13/2014
69,138.1,7/30/2015
886,116.4,10/27/2015
498,130.48,3/15/2011
384,290.22,9/5/2017
486,147.47,8/19/2011
128,61.34,7/6/2013
154,42.31,7/19/2011
359,126.28,7/23/2013
692,65.98,8/16/2013
520,21.94,1/3/2012
172,63.05,3/17/2017
667,33.89,2/28/2018
669,84.77,10/25/2014
572,366.4,4/21/2016
852,124.07,8/19/2012
340,278.27,8/4/2017
483,77.51,12/6/2016
923,251.5,12/18/2012
548,26.13,9/13/2015
566,194.55,5/20/2011
6,120.54,8/13/2012
930,35.55,7/28/2015
572,140.84,1/23/2013
691,166.63,6/29/2017
300,421.19,8/28/2013
922,168.79,12/27/2012
871,6.75,2/20/2010
556,5.51,1/14/2014
785,225.32,2/23/2010
490,4.92,1/20/2017
147,417.26,10/7/2015
596,99.32,7/16/2010
443,98.56,1/20/2018
834,165.3,2/9/2016
1,3.11,9/24/2015
224,263.06,8/15/2012
72,19.2,1/27/2015
213,217.62,7/6/2016
6,78.65,6/30/2010
587,46.32,4/13/2014
766,136.89,7/29/2015
384,288.72,6/13/2014
330,456.02,8/23/2017
286,23.64,8/4/2012
371,179.36,9/25/2014
489,1.63,10/28/2013
544,35.84,4/22/2010
797,90.99,9/16/2017
762,189.41,9/7/2017
696,207.15,11/14/2012
207,39.48,10/13/2012
268,247.56,1/1/2016
108,86.36,5/3/2013
11,5.46,10/20/2013
193,1.14,5/3/2016
593,245.3,1/5/2013
676,110.52,7/18/2012
707,9.72,7/10/2013
715,483.78,5/18/2012
112,127.83,8/14/2016
314,268.91,1/8/2011
469,60.58,8/17/2011
459,43.48,11/9/2013
62,171.26,11/13/2015
183,53.87,3/8/2013
424,120.71,6/27/2014
511,0.11,1/25/2017
217,359.02,1/17/2014
568,18.07,1/24/2013
951,135.11,5/17/2013
399,86.01,2/21/2012
279,79.75,3/8/2014
42,183.52,3/5/2015
830,77.74,10/4/2012
598,44.92,9/17/2014
139,103.08,5/30/2010
529,39.5,5/29/2012
400,259.44,11/8/2012
903,99.12,11/17/2012
589,2.94,5/22/2014
897,85.8,11/20/2012
113,72.22,8/19/2013
861,139.08,9/15/2016
216,281.36,8/24/2011
819,0.8,10/28/2010
971,10.74,12/27/2010
754,48.3,4/15/2012
731,278.87,2/18/2013
566,314.19,3/18/2016
823,245.07,11/27/2017
327,16.56,6/21/2013
460,32.05,2/21/2018
634,12.84,3/30/2015
177,32.58,11/29/2010
303,15.59,4/25/2015
410,441.06,10/24/2015
822,35.27,6/18/2015
76,6.04,4/21/2017
922,59.75,5/2/2015
435,49.24,7/14/2011
683,39.66,6/2/2011
390,226.02,12/26/2016
410,87.53,8/3/2014
725,80.79,11/5/2013
946,168.03,10/30/2012
104,218.87,7/11/2014
757,122.16,9/14/2016
375,152.87,1/16/2018
261,120.02,11/13/2016
173,215.48,9/29/2010
292,98.18,11/4/2017
730,180.28,10/28/2014
614,67.43,3/8/2010
169,69.73,6/4/2016
484,311.18,5/25/2010
102,52.38,3/15/2015
9,106.36,3/8/2011
499,1.75,4/26/2016
600,211.76,11/9/2016
885,250.23,2/7/2016
965,210.05,6/28/2010
472,258.51,1/26/2015
228,189.17,12/17/2016
653,156.89,3/10/2014
534,95.92,7/4/2015
952,39.55,1/22/2013
993,122.92,5/4/2014
